original;connected;weight;SENS UNIQUE;trafic
2.80946, 50.54557;2.80757, 50.54581;24;0;0
2.80949, 50.53831;2.80863, 50.53838;7;0;0
2.80964, 50.66969;2.81355, 50.67226;114;0;2
2.80968, 50.52968;2.80141, 50.52776;343;0;3
2.80974, 50.54133;2.80988, 50.54179;6;0;0
2.80974, 50.54133;2.80908, 50.54165;3;0;2
2.80982, 50.53108;2.8103, 50.53039;16;0;0
2.80982, 50.53108;2.8103, 50.53039;16;0;0
2.80988, 50.54179;2.80946, 50.54557;45;0;0
2.80988, 50.54179;2.8106, 50.54083;8;0;2
2.81015, 50.59788;2.80366, 50.60127;39;0;0
2.81015, 50.59788;2.81046, 50.59789;8;0;0
2.8102, 50.59775;2.81015, 50.59788;8;0;0
2.8102, 50.59775;2.80585, 50.59333;342;0;0
2.81029, 50.53235;2.81068, 50.53253;7;0;1
2.81029, 50.53235;2.81068, 50.53253;7;0;1
2.8103, 50.53039;2.80729, 50.52964;52;0;0
2.8103, 50.53039;2.81068, 50.5303;10;0;0
2.8103, 50.53039;2.81068, 50.5303;10;0;0
2.81044, 50.59775;2.8102, 50.59775;6;0;0
2.81046, 50.59789;2.81317, 50.60046;77;0;0
2.81046, 50.59789;2.81044, 50.59775;9;0;0
2.81052, 50.53822;2.81056, 50.53861;8;0;0
2.81052, 50.53822;2.80949, 50.53831;8;0;0
2.81056, 50.53861;2.80916, 50.5388;23;0;0
2.81056, 50.53861;2.81141, 50.53914;29;0;2
2.81068, 50.5303;2.80968, 50.52968;33;0;2
2.81068, 50.53253;2.81088, 50.53242;149;0;0
2.81068, 50.53253;2.80748, 50.53336;40;0;0
2.81068, 50.53253;2.81088, 50.53242;149;0;0
2.81068, 50.53253;2.81102, 50.53279;5;0;1
2.81088, 50.53242;2.80982, 50.53108;27;0;0
2.81088, 50.53242;2.81232, 50.53231;131;0;1
2.81088, 50.53242;2.81232, 50.53231;131;0;1
2.81088, 50.53242;2.81068, 50.5303;52;1;0
2.81098, 50.5347;2.81129, 50.53471;4;1;0
2.81098, 50.5347;2.80933, 50.53418;90;0;6
2.81102, 50.53279;2.81169, 50.53328;10;0;1
2.81113, 50.53514;2.8123, 50.53576;37;0;2
2.81113, 50.53514;2.81098, 50.5347;8;1;0
2.81113, 50.53514;2.81129, 50.53471;12;1;0
2.81129, 50.53471;2.81137, 50.53463;2;0;0
2.81137, 50.53463;2.81143, 50.53416;9;0;0
2.81137, 50.53463;2.81219, 50.53466;10;0;2
2.81137, 50.53669;2.81312, 50.5368;231;0;0
2.81137, 50.53669;2.81113, 50.53514;24;0;0
2.81141, 50.53701;2.81237, 50.53704;8;0;2
2.81141, 50.53701;2.81137, 50.53669;3;0;0
2.81152, 50.53812;2.81315, 50.53812;180;0;2
2.81152, 50.53812;2.81052, 50.53822;12;0;0
2.81152, 50.53812;2.81141, 50.53701;13;0;0
2.81156, 50.53854;2.81152, 50.53812;10;0;5
2.81156, 50.53854;2.81176, 50.53854;1;0;2
2.81169, 50.53328;2.8131, 50.53422;15;0;1
2.81169, 50.53328;2.81143, 50.53416;13;0;0
2.81173, 50.66827;2.82104, 50.66132;76;0;1
2.81191, 50.52931;2.80968, 50.52968;59;0;3
2.81232, 50.53231;2.8133, 50.53123;28;0;0
2.81232, 50.53231;2.81462, 50.53217;18;0;1
2.81232, 50.53231;2.81462, 50.53217;18;0;1
2.81237, 50.53704;2.81305, 50.53706;231;0;2
2.81252, 50.56123;2.81597, 50.56369;28;0;0
2.81258, 50.54099;2.81258, 50.54099;0;0;5
2.81258, 50.54099;2.81156, 50.53854;32;0;5
2.81305, 50.53706;2.81315, 50.53812;17;0;0
2.8131, 50.53422;2.81407, 50.53496;10;0;1
2.8131, 50.53422;2.81641, 50.53482;50;0;2
2.81312, 50.5368;2.81305, 50.53706;3;0;0
2.81312, 50.54221;2.81333, 50.54202;3;1;5
2.81315, 50.53812;2.81635, 50.53875;43;0;0
2.81333, 50.54202;2.81375, 50.54219;5;1;5
2.81333, 50.54202;2.81258, 50.54099;30;0;5
2.81341, 50.54241;2.81312, 50.54221;3;1;5
2.81341, 50.54241;2.80946, 50.54557;74;0;0
2.81355, 50.67226;2.81625, 50.67424;82;0;3
2.81355, 50.67226;2.81339, 50.6724;5;0;4
2.81374, 50.58899;2.80585, 50.59333;169;0;0
2.81374, 50.58899;2.8087, 50.58482;58;0;0
2.81375, 50.54219;2.81341, 50.54241;5;1;5
2.81381, 50.57098;2.81177, 50.57088;46;0;0
2.81381, 50.57098;2.81417, 50.56882;35;0;0
2.81393, 50.67112;2.81442, 50.66991;39;0;4
2.81407, 50.53496;2.81514, 50.53622;18;0;1
2.81407, 50.53496;2.81312, 50.5368;29;0;0
2.81414, 50.58512;2.81429, 50.58596;1;0;0
2.81442, 50.66991;2.81173, 50.66827;30;0;1
2.81442, 50.66991;2.81643, 50.66728;96;0;0
2.81462, 50.53217;2.81507, 50.53236;5;0;1
2.81468, 50.5848;2.81304, 50.58212;97;0;0
2.81468, 50.5848;2.81414, 50.58512;20;0;0
2.81492, 50.59023;2.81374, 50.58899;15;0;0
2.81492, 50.59023;2.81418, 50.59026;11;0;0
2.81507, 50.53236;2.81662, 50.53329;15;0;1
2.81514, 50.53622;2.81725, 50.53866;26;0;1
2.81538, 50.53223;2.81462, 50.53217;10;1;1
2.81538, 50.53223;2.81507, 50.53236;5;1;1
2.81583, 50.53219;2.82668, 50.53674;123;0;0
2.81583, 50.53219;2.82668, 50.53674;123;0;0
2.81583, 50.53219;2.81538, 50.53223;5;0;1
2.81583, 50.53219;2.81538, 50.53223;5;0;1
2.81611, 50.5848;2.81468, 50.5848;22;0;0
2.81611, 50.5848;2.81748, 50.58392;22;0;0
2.81613, 50.59044;2.81492, 50.59023;8;0;0
2.81613, 50.59044;2.81611, 50.5848;98;0;0
2.81625, 50.67424;2.81912, 50.6758;75;0;3
2.81625, 50.67424;2.81251, 50.67769;138;0;0
2.81635, 50.53875;2.81725, 50.53866;11;0;0
2.81635, 50.53875;2.8155, 50.54154;64;0;0
2.81641, 50.53482;2.81514, 50.53622;35;0;0
2.81662, 50.53329;2.81695, 50.53383;8;1;0
2.81662, 50.53329;2.81718, 50.53367;4;0;1
2.81668, 50.53633;2.81514, 50.53622;183;0;3
2.8169, 50.67049;2.81828, 50.66819;62;0;0
2.8169, 50.67049;2.81442, 50.66991;13;0;1
2.81695, 50.53383;2.81832, 50.53466;25;0;0
2.81695, 50.53383;2.81641, 50.53482;12;0;0
2.81718, 50.53367;2.81944, 50.53524;17;0;1
2.81718, 50.53367;2.81695, 50.53383;3;0;0
2.81725, 50.53866;2.81988, 50.54199;49;0;1
2.81748, 50.58392;2.82098, 50.58237;49;0;0
2.81748, 50.58392;2.82462, 50.59134;48;0;0
2.81786, 50.53581;2.81694, 50.53692;42;0;0
2.81786, 50.53581;2.81868, 50.53593;12;0;0
2.81803, 50.52749;2.81191, 50.52931;116;0;3
2.81809, 50.67076;2.8169, 50.67049;6;0;1
2.81809, 50.67076;2.81671, 50.67393;732;0;0
2.81814, 50.53695;2.81694, 50.53692;17;0;0
2.81814, 50.53695;2.81863, 50.53703;194;0;0
